lat;lon;X;Y;B1;B2;B3;B4;B5;B6;B7;B8;B8A;B9;B11;B12
5.939902982;-73.46322747;2629.0;2882.0;0.07640000000000001;0.1075;0.133;0.11510000000000001;0.1395;0.2626;0.3012;0.34340000000000004;0.3244;0.3502;0.2132;0.1296
5.946202982;-73.53252747;1861.0;2814.0;0.012400000000000001;0.010700000000000001;0.0328;0.0256;0.0698;0.21350000000000002;0.2586;0.2531;0.3057;0.3053;0.1627;0.0718
5.933602982;-73.48842747;2350.0;2952.0;0.0015;0.028300000000000002;0.0742;0.0563;0.13290000000000002;0.2949;0.33390000000000003;0.3569;0.37360000000000004;0.2765;0.2681;0.0
5.946202982;-73.52622747;1931.0;2814.0;0.0108;0.023700000000000002;0.0625;0.045700000000000005;0.115;0.2761;0.32180000000000003;0.3362;0.3628;0.3309;0.22010000000000002;0.1106
5.946202982;-73.51992747;2001.0;2814.0;0.0103;0.0111;0.0285;0.0267;0.056100000000000004;0.1165;0.1363;0.1241;0.16690000000000002;0.3123;0.1116;0.0502
5.946202982;-73.51362747;2071.0;2814.0;0.0083;0.0171;0.0494;0.0362;0.0902;0.2555;0.2917;0.3281;0.33690000000000003;0.31820000000000004;0.1801;0.0
5.946202982;-73.50102747;2210.0;2813.0;0.0119;0.0175;0.0473;0.033;0.08700000000000001;0.22490000000000002;0.259;0.2975;0.28350000000000003;0.25570000000000004;0.17250000000000001;0.0
5.946202982;-73.49472747;2280.0;2813.0;0.0032;0.0068000000000000005;0.0307;0.0206;0.066;0.2164;0.2666;0.2909;0.3004;0.27690000000000003;0.124;0.0
5.946202982;-73.48842747;2350.0;2813.0;0.0086;0.028200000000000003;0.0634;0.0546;0.1019;0.248;0.29450000000000004;0.3104;0.3247;0.3413;0.1845;0.0
5.946202982;-73.47582747;2489.0;2812.0;0.009000000000000001;0.0117;0.040100000000000004;0.028;0.084;0.22590000000000002;0.271;0.2713;0.3005;0.2524;0.1459;0.0
5.946202982;-73.46952747;2559.0;2812.0;0.0117;0.0129;0.039;0.0263;0.09050000000000001;0.2711;0.3113;0.327;0.3614;0.32330000000000003;0.2137;0.0
5.946202982;-73.46322747;2629.0;2812.0;0.0195;0.013000000000000001;0.039;0.033600000000000005;0.0898;0.2091;0.23370000000000002;0.2305;0.2796;0.2305;0.1791;0.0959
5.946202982;-73.45692747;2698.0;2812.0;0.0112;0.0165;0.050100000000000006;0.0402;0.11720000000000001;0.2901;0.33640000000000003;0.3165;0.37070000000000003;0.3957;0.2534;0.1228
5.952502982;-73.62702747;815.0;2747.0;0.0074;0.0175;0.041800000000000004;0.030000000000000002;0.0823;0.2404;0.3024;0.3458;0.33580000000000004;0.311;0.1757;0.0844
5.952502982;-73.54512747;1722.0;2745.0;0.011000000000000001;0.0219;0.0546;0.035500000000000004;0.0844;0.2538;0.315;0.3557;0.34440000000000004;0.32680000000000003;0.1593;0.07060000000000001
5.952502982;-73.53882747;1791.0;2745.0;0.0235;0.0349;0.0685;0.07690000000000001;0.1017;0.21280000000000002;0.25620000000000004;0.2664;0.2674;0.2975;0.2381;0.1605
5.952502982;-73.53252747;1861.0;2745.0;0.012700000000000001;0.024;0.0524;0.0506;0.0878;0.1701;0.20170000000000002;0.2217;0.227;0.2361;0.18460000000000001;0.09770000000000001
5.952502982;-73.52622747;1931.0;2744.0;0.077;0.0618;0.0896;0.082;0.12340000000000001;0.2521;0.2916;0.3039;0.3169;0.36000000000000004;0.2582;0.151
5.952502982;-73.51992747;2001.0;2744.0;0.0118;0.0456;0.0772;0.08710000000000001;0.1012;0.2019;0.24450000000000002;0.23770000000000002;0.2755;0.28950000000000004;0.21860000000000002;0.1311
5.952502982;-73.51362747;2070.0;2744.0;0.0064;0.015000000000000001;0.0472;0.0292;0.08990000000000001;0.28800000000000003;0.3462;0.4058;0.3967;0.3594;0.1782;0.0
5.952502982;-73.49472747;2280.0;2743.0;0.06380000000000001;0.053000000000000005;0.0864;0.0913;0.1275;0.23020000000000002;0.26930000000000004;0.26230000000000003;0.2949;0.3078;0.21630000000000002;0.0
